ob,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.,relative,dactyl
bellō,1st person,singular,present,indicative,active,ablative+dative,neuter,positive,participle,adverb,relative,dactyl
labōrēs,1st person,plural,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl
|— —|,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,spondee
altae,1st person,singular,present,indicative,active,dative+genitive+nominative,feminine,positive,participle,adverb,relative,dactyl
adīre,2nd person,singular,present,imperative,not deponent+active,nominative,masculine,positive,infinitive,adverb,relative,dactyl
quō,1st person,singular,present,indicative,active,nominative,neuter+masculine,positive,participle,adjective,interrogative+relative,dactyl
urbem,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
|— ‿ ‿|,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
genus,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
patrēs,1st person,plural,present,indicative,active,accusative+nominative,masculine,positive,participle,adverb,relative,dactyl
cāsūs,1st person,singular,present,indicative,active,accusative+genitive+nominative,masculine,positive,participle,adverb,relative,dactyl
mihi,1st person,singular,present,indicative,active,dative,masculine,positive,participle,adverb,personal pronoun,dactyl
tantae,1st person,singular,present,indicative,active,dative+genitive+nominative,feminine,positive,participle,adverb,relative,dactyl
vī,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
multa,1st person,singular,present,indicative,active,accusative+nominative,neuter+feminine,positive,participle,adverb,relative,dactyl
prīmus,1st person,singular,present,indicative,active,nominative,masculine,superlative,participle,adverb,ordinal,dactyl
vēnit,3rd person,singular,future perfect+perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
atque,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
superum,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
īnferret,3rd person,singular,imperfect,subjunctive,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
saevae,1st person,singular,present,indicative,active,dative,feminine,positive,participle,adverb,relative,dactyl
deum,1st person,singular,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl
